restaurante,categoria,barrio,rating,reseña,sentimiento,fecha
La Cantina del Tigre,Mexicana,Casco Viejo,4.3,Las pastas son hechas en casa y se nota la diferencia.,positivo,2025-11-21
Capital Bistro,Internacional,San Francisco,3.3,"El plato principal estaba bien, pero el postre decepcionó.",neutral,2025-10-04
La Vespa,Italiana,Punta Paitilla,3.5,"El plato principal estaba bien, pero el postre decepcionó.",neutral,2026-05-16
El Pavo Real,Española,El Cangrejo,4.5,Las pastas son hechas en casa y se nota la diferencia.,positivo,2026-01-02
Maito,Cocina Panameña Fusión,Casco Viejo,4.9,La carta de vinos es impresionante y bien seleccionada.,positivo,2025-12-04
El Pavo Real,Española,El Cangrejo,3.1,La próxima vez pediré algo diferente a ver si mejora.,neutral,2025-12-18
Pedro Mandinga,Caribeña Fusión,Casco Viejo,4.3,"Los postres son increíbles, la torta de chocolate es la mejor.",positivo,2026-05-08
Lung Fung,China,El Dorado,3.4,La reservación no la respetaron y tuvimos que esperar.,negativo,2026-06-11
Capital Bistro,Internacional,San Francisco,5.0,El ambiente es perfecto para una cena romántica.,positivo,2026-01-13
El Pavo Real,Española,El Cangrejo,3.5,El menú tiene opciones interesantes pero limitadas.,neutral,2026-02-12
La Vespa,Italiana,Punta Paitilla,4.4,El personal es muy atento y el ambiente muy agradable.,positivo,2026-04-02
Manolo Caracol,Caribeña,Casco Viejo,2.2,La comida llegó fría y el servicio fue muy lento.,negativo,2025-08-19
El Trapiche,Cocina Tradicional,Vía Argentina,4.5,Volvimos porque ya conocíamos la calidad y no defrauda.,positivo,2025-06-21
Manolo Caracol,Caribeña,Casco Viejo,4.8,Un lugar perfecto para una cena especial. Todo de primera.,positivo,2025-08-22
Manolo Caracol,Caribeña,Casco Viejo,4.6,De los mejores restaurantes que he visitado. Súper recomendado.,positivo,2026-01-01
Capital Bistro,Internacional,San Francisco,4.8,"Cada visita es una experiencia única, sigan así.",positivo,2026-04-05
Lung Fung,China,El Dorado,3.1,"El servicio al cliente fue terrible, muy descorteses.",negativo,2026-05-09
La Posta,Italiana,El Cangrejo,4.6,Los cócteles de autor son innovadores y deliciosos.,positivo,2025-06-25
Donde José,Alta Cocina,San Francisco,5.0,Me encantó la variedad del menú y los precios justos.,positivo,2026-03-16
Lung Fung,China,El Dorado,3.4,"El aire acondicionado no funcionaba, hizo mucho calor.",negativo,2026-01-29
Gauchos,Argentina,Vía porras,4.4,El personal es muy atento y el ambiente muy agradable.,positivo,2025-09-04
Beirut,Libanesa,Obarrio,3.4,Buena atención pero la comida tardó en llegar.,neutral,2025-10-25
La Vespa,Italiana,Punta Paitilla,2.3,No volveré. La comida no cumplió con las expectativas.,negativo,2025-07-20
La Cantina del Tigre,Mexicana,Casco Viejo,4.6,"Los sabores son espectaculares, muy recomendado.",positivo,2025-09-12
Manolo Caracol,Caribeña,Casco Viejo,4.7,"La vista desde el rooftop es impresionante, y la comida igual.",positivo,2025-06-29
Super Gourmet,Casual,San Francisco,3.9,La carta de vinos es impresionante y bien seleccionada.,positivo,2025-11-29
La Vespa,Italiana,Punta Paitilla,2.2,"La música estaba demasiado alta, no se podía hablar.",negativo,2025-07-19
El Trapiche,Cocina Tradicional,Vía Argentina,4.7,El mejor ceviche de la ciudad sin duda alguna.,positivo,2026-05-21
La Cantina del Tigre,Mexicana,Casco Viejo,3.5,Los precios de los tragos son muy caros para lo que ofrecen.,neutral,2025-06-16
La Posta,Italiana,El Cangrejo,3.2,"El servicio fue normal, esperaba un poco más.",neutral,2025-08-09
Pedro Mandinga,Caribeña Fusión,Casco Viejo,2.7,Los precios son excesivos para la calidad que ofrecen.,negativo,2026-04-08
Beirut,Libanesa,Obarrio,2.5,La atención fue pésima desde la llegada hasta la salida.,negativo,2026-01-30
La Vespa,Italiana,Punta Paitilla,2.7,Las porciones son muy pequeñas para lo que cobran.,negativo,2025-10-26
Super Gourmet,Casual,San Francisco,3.7,"Los postres son increíbles, la torta de chocolate es la mejor.",positivo,2025-12-12
El Pavo Real,Española,El Cangrejo,4.2,"La vista desde el rooftop es impresionante, y la comida igual.",positivo,2025-08-04
Tantalo,Internacional,Casco Viejo,4.1,Fui con expectativas altas y me pareció normal.,neutral,2026-06-07
La Vespa,Italiana,Punta Paitilla,3.9,"El plato principal estaba bien, pero el postre decepcionó.",neutral,2025-12-25
La Posta,Italiana,El Cangrejo,1.2,La comida llegó fría y el servicio fue muy lento.,negativo,2025-07-25
La Vespa,Italiana,Punta Paitilla,3.9,"El risotto cremoso y lleno de sabor, muy recomendado.",positivo,2026-06-09
Manolo Caracol,Caribeña,Casco Viejo,3.1,Fui con expectativas altas y me pareció normal.,neutral,2026-04-11
Tantalo,Internacional,Casco Viejo,4.5,La carta de vinos es impresionante y bien seleccionada.,positivo,2026-03-02
Capital Bistro,Internacional,San Francisco,3.6,"Buena opción si no quieres complicarte, pero hay mejores.",neutral,2025-07-14
Super Gourmet,Casual,San Francisco,3.3,La próxima vez pediré algo diferente a ver si mejora.,neutral,2025-09-21
Capital Bistro,Internacional,San Francisco,3.7,Fui con expectativas altas y me pareció normal.,neutral,2025-12-06
Super Gourmet,Casual,San Francisco,3.8,"Algunos platos son mejores que otros, es inconsistente.",neutral,2026-05-04
Diablicos,Cocina Panameña,Casco Viejo,2.8,"La música estaba demasiado alta, no se podía hablar.",negativo,2026-03-14
Tantalo,Internacional,Casco Viejo,4.5,Un lugar que todo amante de la buena comida debe visitar.,positivo,2026-05-05
Maito,Cocina Panameña Fusión,Casco Viejo,4.6,De los mejores restaurantes que he visitado. Súper recomendado.,positivo,2026-05-03
El Pavo Real,Española,El Cangrejo,3.5,La ubicación es conveniente pero el estacionamiento es difícil.,neutral,2025-07-25
El Pavo Real,Española,El Cangrejo,4.0,Tiene potencial pero necesita mejorar algunos detalles.,neutral,2025-12-14
Intimo,Cocina Panameña,San Felipe,4.8,El chef hizo una presentación impecable de cada plato.,positivo,2025-08-13
Diablicos,Cocina Panameña,Casco Viejo,4.1,"Buena opción si no quieres complicarte, pero hay mejores.",neutral,2025-06-17
Maito,Cocina Panameña Fusión,Casco Viejo,5.0,"Excelente comida, el servicio fue increíble. Definitivamente volveré.",positivo,2025-11-12
Capital Bistro,Internacional,San Francisco,4.1,"Algunos platos son mejores que otros, es inconsistente.",neutral,2026-01-27
Siete Mares,Mariscos,Calidonia,4.7,Un lugar que todo amante de la buena comida debe visitar.,positivo,2025-06-24
Super Gourmet,Casual,San Francisco,2.8,Precios un poco altos para la porción que sirven.,neutral,2026-05-17
La Posta,Italiana,El Cangrejo,4.6,Volvimos porque ya conocíamos la calidad y no defrauda.,positivo,2025-07-04
Maito,Cocina Panameña Fusión,Casco Viejo,3.0,"El servicio fue normal, esperaba un poco más.",neutral,2025-11-16
Siete Mares,Mariscos,Calidonia,4.0,Un lugar que todo amante de la buena comida debe visitar.,positivo,2026-02-10
Diablicos,Cocina Panameña,Casco Viejo,2.1,El menú tiene errores y varios platos no estaban disponibles.,negativo,2025-11-18
Intimo,Cocina Panameña,San Felipe,5.0,Increíble atención al cliente y platos exquisitos.,positivo,2026-05-09
La Vespa,Italiana,Punta Paitilla,3.5,"La comida estaba bien, nada del otro mundo.",neutral,2025-08-11
Pedro Mandinga,Caribeña Fusión,Casco Viejo,4.6,El tartar de atún es simplemente espectacular.,positivo,2026-02-15
Lung Fung,China,El Dorado,4.2,El mejor ceviche de la ciudad sin duda alguna.,positivo,2026-02-19
Maito,Cocina Panameña Fusión,Casco Viejo,4.9,La mejor experiencia gastronómica en Panamá. Todo perfecto.,positivo,2025-09-19
Tantalo,Internacional,Casco Viejo,4.4,La calidad de los ingredientes se nota en cada bocado.,positivo,2025-08-24
Madero,Steakhouse,Costa del Este,2.7,La decoración es bonita pero las mesas muy juntas.,neutral,2026-05-15
Beirut,Libanesa,Obarrio,4.0,Las pastas son hechas en casa y se nota la diferencia.,positivo,2026-04-25
Madero,Steakhouse,Costa del Este,2.6,Buena atención pero la comida tardó en llegar.,neutral,2025-10-07
Maito,Cocina Panameña Fusión,Casco Viejo,4.8,El ambiente es acogedor y la comida deliciosa. Volveré pronto.,positivo,2026-02-15
Tantalo,Internacional,Casco Viejo,4.4,El tartar de atún es simplemente espectacular.,positivo,2025-07-18
Capital Bistro,Internacional,San Francisco,4.6,De los mejores restaurantes que he visitado. Súper recomendado.,positivo,2025-08-14
Intimo,Cocina Panameña,San Felipe,5.0,"Cada visita es una experiencia única, sigan así.",positivo,2025-10-02
La Vespa,Italiana,Punta Paitilla,3.3,Me sentí ignorado por el personal durante toda la cena.,negativo,2025-10-25
Nacion Sushi,Japonesa,Multiplaza,4.6,Los mariscos frescos son lo mejor del menú.,positivo,2025-09-17
El Pavo Real,Española,El Cangrejo,4.6,"Los sabores son espectaculares, muy recomendado.",positivo,2025-11-13
Manolo Caracol,Caribeña,Casco Viejo,3.6,Fui con expectativas altas y me pareció normal.,neutral,2026-04-30
La Cantina del Tigre,Mexicana,Casco Viejo,3.9,Los precios de los tragos son muy caros para lo que ofrecen.,neutral,2026-04-20
Donde José,Alta Cocina,San Francisco,2.7,"La atención fue regular, tardaron en servirnos.",neutral,2025-11-27
La Cantina del Tigre,Mexicana,Casco Viejo,4.3,Un verdadero tesoro escondido en la ciudad.,positivo,2026-05-15
Gauchos,Argentina,Vía porras,4.7,El tartar de atún es simplemente espectacular.,positivo,2026-03-17
Beirut,Libanesa,Obarrio,3.7,Los precios de los tragos son muy caros para lo que ofrecen.,neutral,2026-02-22
Intimo,Cocina Panameña,San Felipe,5.0,Los cócteles de autor son innovadores y deliciosos.,positivo,2025-11-06
Intimo,Cocina Panameña,San Felipe,5.0,El ambiente es perfecto para una cena romántica.,positivo,2026-05-05
Pedro Mandinga,Caribeña Fusión,Casco Viejo,2.9,"Algunos platos son mejores que otros, es inconsistente.",neutral,2025-11-22
El Pavo Real,Española,El Cangrejo,1.5,El plato principal estaba salado y la atención pésima.,negativo,2025-11-28
Pedro Mandinga,Caribeña Fusión,Casco Viejo,4.6,Las pastas son hechas en casa y se nota la diferencia.,positivo,2026-06-07
Siete Mares,Mariscos,Calidonia,4.5,Increíble atención al cliente y platos exquisitos.,positivo,2026-05-22
Beirut,Libanesa,Obarrio,3.5,"El plato principal estaba bien, pero el postre decepcionó.",neutral,2025-08-21
Manolo Caracol,Caribeña,Casco Viejo,3.7,Tiene potencial pero necesita mejorar algunos detalles.,neutral,2026-05-20
Beirut,Libanesa,Obarrio,4.8,El tartar de atún es simplemente espectacular.,positivo,2026-01-05
Madero,Steakhouse,Costa del Este,4.7,"Los sabores son espectaculares, muy recomendado.",positivo,2025-09-04
Gauchos,Argentina,Vía porras,4.2,"Cada visita es una experiencia única, sigan así.",positivo,2025-09-20
Beirut,Libanesa,Obarrio,4.6,De los mejores restaurantes que he visitado. Súper recomendado.,positivo,2026-03-12
Donde José,Alta Cocina,San Francisco,5.0,La calidad de los ingredientes se nota en cada bocado.,positivo,2026-02-13
Diablicos,Cocina Panameña,Casco Viejo,4.0,"Es un restaurante promedio, ni excelente ni malo.",neutral,2026-03-26
Maito,Cocina Panameña Fusión,Casco Viejo,5.0,Un verdadero tesoro escondido en la ciudad.,positivo,2025-06-24
Beirut,Libanesa,Obarrio,3.0,La próxima vez pediré algo diferente a ver si mejora.,neutral,2026-04-07
Maito,Cocina Panameña Fusión,Casco Viejo,4.7,"El risotto cremoso y lleno de sabor, muy recomendado.",positivo,2025-07-24
Gauchos,Argentina,Vía porras,3.9,La comida es correcta pero los precios son elevados.,neutral,2026-05-14
Lung Fung,China,El Dorado,3.6,La carta de vinos es impresionante y bien seleccionada.,positivo,2026-04-04
Donde José,Alta Cocina,San Francisco,5.0,La calidad de los ingredientes se nota en cada bocado.,positivo,2026-02-28
El Pavo Real,Española,El Cangrejo,4.3,El personal es muy atento y el ambiente muy agradable.,positivo,2026-02-08
Manolo Caracol,Caribeña,Casco Viejo,5.0,Volvimos porque ya conocíamos la calidad y no defrauda.,positivo,2025-12-27
Capital Bistro,Internacional,San Francisco,3.7,El lugar es bonito pero la comida no sorprendió.,neutral,2026-01-12
La Cantina del Tigre,Mexicana,Casco Viejo,4.6,Las pastas son hechas en casa y se nota la diferencia.,positivo,2026-02-15
Siete Mares,Mariscos,Calidonia,2.9,Las porciones son muy pequeñas para lo que cobran.,negativo,2025-07-15
El Trapiche,Cocina Tradicional,Vía Argentina,4.3,Volvimos porque ya conocíamos la calidad y no defrauda.,positivo,2026-05-17
La Cantina del Tigre,Mexicana,Casco Viejo,3.7,"Tiene días buenos y días malos, es inconsistente.",neutral,2026-06-08
Manolo Caracol,Caribeña,Casco Viejo,4.9,"Los postres son increíbles, la torta de chocolate es la mejor.",positivo,2025-06-14
Madero,Steakhouse,Costa del Este,5.0,Los mariscos frescos son lo mejor del menú.,positivo,2026-06-08
Lung Fung,China,El Dorado,3.3,Los precios de los tragos son muy caros para lo que ofrecen.,neutral,2026-03-28
La Posta,Italiana,El Cangrejo,4.9,Un lugar que todo amante de la buena comida debe visitar.,positivo,2026-02-26
La Vespa,Italiana,Punta Paitilla,4.3,"El risotto cremoso y lleno de sabor, muy recomendado.",positivo,2026-04-24
Donde José,Alta Cocina,San Francisco,4.9,Los cócteles de autor son innovadores y deliciosos.,positivo,2025-08-19
Pedro Mandinga,Caribeña Fusión,Casco Viejo,4.0,El ambiente es agradable pero un poco ruidoso.,neutral,2026-03-22
Donde José,Alta Cocina,San Francisco,4.8,Las pastas son hechas en casa y se nota la diferencia.,positivo,2025-08-18
Manolo Caracol,Caribeña,Casco Viejo,4.4,La ubicación es conveniente pero el estacionamiento es difícil.,neutral,2025-07-08
Manolo Caracol,Caribeña,Casco Viejo,4.5,Me encantó la variedad del menú y los precios justos.,positivo,2026-02-21
Beirut,Libanesa,Obarrio,4.4,"Los sabores son espectaculares, muy recomendado.",positivo,2025-09-06
Diablicos,Cocina Panameña,Casco Viejo,1.3,La reservación no la respetaron y tuvimos que esperar.,negativo,2025-07-25
Beirut,Libanesa,Obarrio,3.8,Buena atención pero la comida tardó en llegar.,neutral,2026-05-10
Lung Fung,China,El Dorado,4.1,"La comida estaba bien, nada del otro mundo.",neutral,2025-07-13
La Vespa,Italiana,Punta Paitilla,3.6,"Es un restaurante promedio, ni excelente ni malo.",neutral,2025-10-27
Diablicos,Cocina Panameña,Casco Viejo,4.5,Excelente relación calidad-precio. Muy satisfecho.,positivo,2026-01-08
Manolo Caracol,Caribeña,Casco Viejo,5.0,"El pulpo estaba perfectamente cocinado, una delicia.",positivo,2026-01-02
Siete Mares,Mariscos,Calidonia,4.2,Las pastas son hechas en casa y se nota la diferencia.,positivo,2025-09-24
Gauchos,Argentina,Vía porras,4.4,"Los postres son increíbles, la torta de chocolate es la mejor.",positivo,2026-01-01
Beirut,Libanesa,Obarrio,4.1,La decoración es bonita pero las mesas muy juntas.,neutral,2025-09-01
Lung Fung,China,El Dorado,3.0,Los precios son excesivos para la calidad que ofrecen.,negativo,2026-04-04
La Posta,Italiana,El Cangrejo,4.8,El tartar de atún es simplemente espectacular.,positivo,2026-04-02
Capital Bistro,Internacional,San Francisco,4.4,La atención personalizada marca la diferencia.,positivo,2026-05-27
Donde José,Alta Cocina,San Francisco,5.0,El chef hizo una presentación impecable de cada plato.,positivo,2025-09-05
Nacion Sushi,Japonesa,Multiplaza,2.7,"La música estaba demasiado alta, no se podía hablar.",negativo,2025-09-01
Tantalo,Internacional,Casco Viejo,4.0,La próxima vez pediré algo diferente a ver si mejora.,neutral,2025-12-29
Gauchos,Argentina,Vía porras,1.7,No volveré. La comida no cumplió con las expectativas.,negativo,2025-08-19
Tantalo,Internacional,Casco Viejo,3.2,El lugar es bonito pero la comida no sorprendió.,neutral,2025-07-29
La Vespa,Italiana,Punta Paitilla,4.1,La atención personalizada marca la diferencia.,positivo,2025-08-21
Madero,Steakhouse,Costa del Este,2.9,Precios un poco altos para la porción que sirven.,neutral,2025-07-10
Maito,Cocina Panameña Fusión,Casco Viejo,5.0,"Los sabores son espectaculares, muy recomendado.",positivo,2026-03-24
Intimo,Cocina Panameña,San Felipe,4.4,"Cada visita es una experiencia única, sigan así.",positivo,2025-10-08
Capital Bistro,Internacional,San Francisco,3.4,Los precios de los tragos son muy caros para lo que ofrecen.,neutral,2025-08-02
Super Gourmet,Casual,San Francisco,3.0,La cocina tardó más de una hora en servirnos.,negativo,2026-06-04
El Trapiche,Cocina Tradicional,Vía Argentina,4.5,La atención personalizada marca la diferencia.,positivo,2025-06-22
Siete Mares,Mariscos,Calidonia,4.6,"El servicio fue normal, esperaba un poco más.",neutral,2025-12-14
Lung Fung,China,El Dorado,4.4,"El pulpo estaba perfectamente cocinado, una delicia.",positivo,2026-03-15
Siete Mares,Mariscos,Calidonia,4.3,De los mejores restaurantes que he visitado. Súper recomendado.,positivo,2026-05-15
Siete Mares,Mariscos,Calidonia,4.6,Me encantó la variedad del menú y los precios justos.,positivo,2025-06-16
Maito,Cocina Panameña Fusión,Casco Viejo,4.9,El mejor ceviche de la ciudad sin duda alguna.,positivo,2025-11-26
El Pavo Real,Española,El Cangrejo,4.0,"Buena opción si no quieres complicarte, pero hay mejores.",neutral,2025-07-28
La Vespa,Italiana,Punta Paitilla,3.7,La decoración es bonita pero las mesas muy juntas.,neutral,2025-10-14
Super Gourmet,Casual,San Francisco,4.2,Me encantó la variedad del menú y los precios justos.,positivo,2026-04-26
El Trapiche,Cocina Tradicional,Vía Argentina,4.9,Un verdadero tesoro escondido en la ciudad.,positivo,2026-06-10
El Pavo Real,Española,El Cangrejo,2.2,"Caro para lo que ofrecen, no lo recomiendo.",negativo,2025-08-15
El Pavo Real,Española,El Cangrejo,4.4,Un verdadero tesoro escondido en la ciudad.,positivo,2025-06-19
Diablicos,Cocina Panameña,Casco Viejo,3.4,Fui con expectativas altas y me pareció normal.,neutral,2026-04-09
El Trapiche,Cocina Tradicional,Vía Argentina,2.9,No volveré. La comida no cumplió con las expectativas.,negativo,2025-12-14
Super Gourmet,Casual,San Francisco,3.6,Tiene potencial pero necesita mejorar algunos detalles.,neutral,2026-02-21
Madero,Steakhouse,Costa del Este,3.4,La decoración es bonita pero las mesas muy juntas.,neutral,2026-02-06
La Cantina del Tigre,Mexicana,Casco Viejo,3.4,La decoración es bonita pero las mesas muy juntas.,neutral,2025-08-09
Intimo,Cocina Panameña,San Felipe,5.0,"El pulpo estaba perfectamente cocinado, una delicia.",positivo,2025-09-18
El Trapiche,Cocina Tradicional,Vía Argentina,3.2,La comida es correcta pero los precios son elevados.,neutral,2025-10-24
Donde José,Alta Cocina,San Francisco,4.0,Buena atención pero la comida tardó en llegar.,neutral,2025-09-12
La Posta,Italiana,El Cangrejo,5.0,Las pastas son hechas en casa y se nota la diferencia.,positivo,2026-01-09
Madero,Steakhouse,Costa del Este,4.9,Las pastas son hechas en casa y se nota la diferencia.,positivo,2026-03-30
Nacion Sushi,Japonesa,Multiplaza,4.9,"Recomiendo el plato del día, siempre es una sorpresa agradable.",positivo,2026-02-02
El Trapiche,Cocina Tradicional,Vía Argentina,4.6,"El servicio es rápido y eficiente, la comida siempre fresca.",positivo,2026-03-11
Donde José,Alta Cocina,San Francisco,5.0,La carta de vinos es impresionante y bien seleccionada.,positivo,2025-10-19
Donde José,Alta Cocina,San Francisco,4.7,"El servicio es rápido y eficiente, la comida siempre fresca.",positivo,2025-06-17
Intimo,Cocina Panameña,San Felipe,4.1,"Algunos platos son mejores que otros, es inconsistente.",neutral,2025-12-31
